President,Year,Party,Role,Intelligence Leader,Publication Title,Sentence,Sentiment
George W. Bush,2003,Republican,Director of Central Intelligence (DCI),George Tenet,2003: Strategic Reactions to American Preeminence: Great Power Politics in the Age of Unipolarity,The opportunities presented to Beijing in the wake of September to align itself with the United States in the war on terrorism and thereby gain great room for maneuver within its own neighborhood might also be a factor.,0.3719772
George W. Bush,2003,Republican,Director of Central Intelligence (DCI),George Tenet,2003: Strategic Reactions to American Preeminence: Great Power Politics in the Age of Unipolarity,Bandwagoning is all the more attractive to Beijing if it calculates that long-term economic and strategic trends favor China.,0.6381616
George W. Bush,2003,Republican,Director of Central Intelligence (DCI),George Tenet,2003: Strategic Reactions to American Preeminence: Great Power Politics in the Age of Unipolarity,"[ ] John Pomfret, China Embraces More Moderate Foreign Policy, The Washington Post, October ,",0.048038222
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,The WMD Factor Fictional Scenario: Cycle of Fear Policy Implications Graphics and Tables China s and India s,-0.2919444
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"Per Capita GDPs Rising Against US When China s and India s GDPs Would Exceed Today s Rich Countries Telescoping the Population of the World to China s Rise Projected Rise in Defense Spending, Fossil Fuels Will Continue to Dominate in An Expanding European Union Number of Religious Adherents, Key Areas of Radical Islamic Activities Since EU: Estimated and Projected Muslim Population, Global Trends in Internal Conflict, - Special Topics The Global Landscape",-0.0995254
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,Biotechnology: Panacea and Weapon The Status of Women in Risks to Chinese Economic Growth India vs. China: Long-Term Prospects Asia: The Cockpit for Global Change?,-0.14150858
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,Whether rise of China/India occurs smoothly.,0.12005347
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"The likely emergence of China and India, as well as others, as new major global players similar to the advent of a united Germany in the th century and a powerful United States in the early th century will transform the geopolitical landscape, with impacts potentially as dramatic as those in the previous two centuries.",0.16943727
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"In the same way that commentators refer to the s as the American Century, the st century may be seen as the time when Asia, led by China and India, comes into its own.",-0.032144543
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,Most forecasts indicate that by China s gross national product (GNP) will exceed that of individual Western economic powers except for the United States.,-0.055106148
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,Because of the sheer size of China s and India s populations projected by the US Census Bureau to be . billion and almost . billion respectively by their standard of living need not approach Western levels for these countries to become important economic powers.,-0.16727579
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,Yet how China and India exercise their growing power and whether they relate cooperatively or competitively to other powers in the international system are key uncertainties.,0.05896624
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,Tokyo may have to choose between balancing against or bandwagoning with China.,-0.22868448
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,Asians lingering resentments and concerns over Korean unification and cross-Taiwan Strait tensions point to a complicated process for achieving regional equilibrium.,-0.47482952
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"While these social and political factors limit the extent to which Russia can be a major global player, Moscow is likely to be an important partner both for the established powers, the United States and Europe, and for the rising powers of China and India.",0.3353389
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"The arriviste powers China, India, and perhaps others such as Brazil and Indonesia have the potential to render obsolete the old categories of East and West, North and South, aligned and nonaligned, developed and developing.",0.12739222
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"In contrast, some now in the First World may see the closing gap with China, India, and others as evidence of a relative decline, even though the older powers are likely to remain global leaders out to .",-0.29611078
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"Those left behind in the developing world may resent China and India s rise, especially if they feel squeezed by their growing dominance in key sectors of the global marketplace.",-0.4543543
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"China and India are well positioned to become technology leaders, and even the poorest countries will be able to leverage prolific, cheap technologies to fuel although at a slower rate their own development.",0.7863408
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"The expected next revolution in high technology involving the convergence of nano-, bio-, information and materials technology could further bolster China and India s prospects.",0.8470831
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"Their ranks will include a growing number based in such countries as China, India, or Brazil.",0.15684462
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"China, India, and other developing countries growing energy needs suggest a growing preoccupation with energy, shaping their foreign policies.",0.064042136
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,Chinese leaders will face a dilemma over how much to accommodate pluralistic pressures to relax political controls or risk a popular backlash if they do not.,-0.45592788
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"Beijing may pursue an Asian way of democracy, which could involve elections at the local level and a consultative mechanism on the national level, perhaps with the Communist Party retaining control over the central government.",0.06302836
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"With the gradual integration of China, India, and other emerging countries into the global economy, hundreds of millions of working-age adults will become available for employment in what is evolving into a more integrated world labor market.",0.6876924
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"The absence of effective conflict resolution mechanisms in some regions, the rise of nationalism in some states, and the raw emotions and tensions on both sides of some issues for example, the Taiwan Strait or India/Pakistan issues could lead to miscalculation.",-0.6434711
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"These scenarios are not meant as actual forecasts, but they describe possible worlds upon whose threshold we may be entering, depending on how trends interweave and play out: Davos World provides an illustration of how robust economic growth, led by China and India, over the next years could reshape the globalization process giving it a more non-Western face and transforming the political playing field as well.",0.6007532
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"The United States probably will continue to be called on to help manage such conflicts as Palestine, North Korea, Taiwan, and Kashmir to ensure they do not get out of hand if a peace settlement cannot be reached.",-0.025645308
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"The reach of globalization was substantially broadened during the last years by Chinese and Indian economic liberalization, the collapse of the Soviet Union, and the worldwide information technology revolution.",0.51749957
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,India and China probably will be among the economic heavyweights or haves.,0.14746824
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"In terms of capital flows, rising Asia may still accumulate large currency reserves currently $ billion in Japan, $ billion in China, $ billion in Korea, and $ billion in India, or collectively three-quarters of global reserves but the percentage held in dollars will fall.",-0.0083877
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"Increased labor force participation in the global economy, especially by China, India, and Indonesia, will have enormous effects, possibly spurring internal and regional migrations.",0.5126999
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"To the degree that these vast internal migrations spill over national borders currently, only a miniscule fraction of China s million internal migrants end up abroad they could have major repercussions for other regions, including Europe and North America.",-0.38678467
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,Asians have already begun to reduce the percentage of students who travel to Europe and North America with Japan and most striking China becoming educational magnets.,-0.51425683
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"Korean pop singers are already the rage in Japan, Japanese anime have many fans in China, and Chinese kung-fu movies and Bollywood song-and-dance epics are viewed throughout Asia.",0.5660101
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"Most of the increase in world population and consumer demand through will take place in today s developing nations especially China, India, and Indonesia and multinational companies from today s advanced nations will adapt their profiles and business practices to the demands of these cultures.",0.37513325
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"Such a pandemic in megacities of the developing world with poor health-care systems in Sub- Saharan Africa, China, India, Bangladesh or Pakistan would be devastating and could spread rapidly throughout the world.",-0.8703901
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"Countries such as China and India will be in a position to achieve higher economic growth than Europe and Japan, whose aging work forces may inhibit their growth.",0.33921677
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,Given its enormous population and assuming a reasonable degree of real currency appreciation the dollar value of China s gross national product (GNP) may be the second largest in the world by .,0.82847726
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"China already has had about two decades of percent and higher growth rates, and Japan, South Korea, and Taiwan have managed in the past to achieve annual rates averaging around percent for a long period.",0.44685218
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"Many emerging markets such as Mexico in the mid- s and Asian countries in the late s suffered negative effects from the abrupt reversals of capital movements, and China and India may encounter similar problems.",-0.7901571
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"With the gradual integration of China, India, and other developing countries into the global economy, hundreds of millions of working-age adults will join what is becoming, through trade and investment flows, a more interrelated world labor market.",0.47296897
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,Experts estimate it could take China another years beyond for per capita incomes to reach current rates in developed economies.,-0.38937747
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"Even if, as one study estimates, China s middle class could make up as much as percent of its population by double what it is now it would be still well below the percent level for the US.",-0.20753378
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,And per capita income for China s middle class would be substantially less than equivalents in the West.,-0.53332657
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"Such interactions of these technology trends coupled with agile manufacturing methods and equipment as well as energy, water, and transportation technologies will help China s and India s prospects for joining the First World.",0.6039839
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,China and India are well positioned to achieve such breakthroughs.,0.89377207
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"As nations like China and India surge forward in funding critical science and engineering education, research, and other infrastructure investments, they will make considerable strides in manufacturing and marketing a full range of technology applications from software and pharmaceuticals to wireless sensors and smart-materials products.",0.87387437
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"Countries like China and India will, because of the purchasing power of their huge markets, be able to shape the implementation of some technologies and step on the intellectual property rights of others.",0.29085112
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"Possible breakthroughs in biomedicine such as an antiviral barrier will reduce the spread of HIV/AIDS, helping to resolve the ongoing humanitarian crisis in Sub- Saharan Africa and diminishing the potentially serious drag on economic growth in developing countries like India and China.",0.61132485
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"In second wave HIV/AIDS countries Nigeria, Ethiopia, Russia, India, China, Brazil, Ukraine, and the Central Asian states the disease will continue to spread beyond traditional high-risk groups into the general population.",-0.8315258
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"In countries such as China and India, where there is a pervasive son preference reinforced by government population control policies, women face increased risk not only of female infanticide but also of kidnapping and smuggling from surrounding regions for the disproportionately greater number of unattached males.",-0.79107386
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"Thus far, the preference for male children in China has led to an estimated shortfall of million women.",-0.6589547
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"In addition, growing tensions over Taiwan may be on the verge of triggering an economic meltdown.",-0.8999235
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"The likely emergence of China and India as new major global players similar to the rise of Germany in the th century and the United States in the early th century will transform the geopolitical landscape, with impacts potentially as dramatic as those of the previous two centuries.",0.20439644
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"In the same way that commentators refer to the s as the American Century, the early st century may be seen as the time when some in the developing world, led by China and India, come into their own.",0.011496387
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"The arriviste powers China, India, and perhaps others such as Brazil and Indonesia could usher in a new set of international alignments, potentially marking a definitive break with some of the post-World War II institutions and practices.",0.21588895
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"Yet how China and India CIA, Long-Term Global Demographic Trends: Reshaping the Geopolitical Landscape, July .",0.02542403
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,Because of the sheer size of China s and India s populations projected by the US Census Bureau to be . billion and almost . billion respectively by their standard of living need not approach Western levels for these countries to become important economic powers.,-0.16727579
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"China, for example, is now the third largest producer of manufactured goods, its share having risen from four to percent in the past decade.",0.79762673
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,Competition from the China price already powerfully restrains manufactures prices worldwide.,0.14113632
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"India currently lags behind China (see box on ) on most economic measures, but most economists believe it also will sustain high levels of economic growth.",0.18160924
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"These include the possible economic rise of other states such as Brazil, South Africa, Indonesia, and even Russia which may reinforce the growing role of China and India even though by themselves these other countries would have more limited geopolitical impact.",0.6202488
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"China s and India s perceived need to secure access to energy supplies will propel these countries to become more global rather than just regional powers, while Europe and Russia s co-dependency is likely to be strengthened.",0.45733148
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,Rising Asia China s,0.23253895
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"East Asian states are adapting to the advent of a more powerful China by forging closer economic and political ties with Beijing, potentially accommodating themselves to its preferences, particularly on sensitive issues like Taiwan.",0.17269497
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"Japan, Taiwan, and various Southeast Asian nations, however, also may try to appeal to each other and the United States to counterbalance China s growing influence.",0.048907794
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"China will continue to strengthen its military through developing and acquiring modern weapons, including advanced fighter aircraft, sophisticated submarines, and increasing numbers of ballistic missiles.",0.60451
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"China will overtake Russia and others as the second largest defense spender after the United States over the next two decades and will be, by any measure, a first-rate military power.",0.1121805
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"Economic setbacks and crises of confidence could slow China s emergence as a full-scale great power, however.",-0.42989227
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,Beijing s failure to maintain its economic growth would itself have a global impact.,-0.71157986
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,Chinese Government failure to satisfy popular needs for job creation could trigger political unrest.,-0.846151
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"Faced with a rapidly aging society beginning in the s, China may be hard pressed to deal with all the issues linked to such serious demographic problems.",-0.7993606
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"If China s economy takes a downward turn, regional security would weaken, resulting in heightened prospects for political instability, crime, narcotics trafficking, and illegal migration.",-0.7695834
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,Economic setbacks and crises of confidence could slow China s emergence as a full-scale great power .,-0.49866018
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"Like China, India will be an economic magnet for the region, and its rise will have an impact not only in Asia but also to the north Central Asia, Iran, and other countries of the Middle East.",0.2925991
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"As India s economy grows, governments in Southeast Asia Malaysia, Singapore, Thailand, and other countries may move closer to India to help build a potential geopolitical counterweight to China.",0.39495334
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"At the same time, India will seek to strengthen its ties with countries in the region without excluding China.",0.34020114
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"Chinese-Indian bilateral trade is expected to rise rapidly from its current small base of $ . billion, according to Goldman Sachs and other experts.",0.7335848
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"Just like China, India may stumble and experience political and economic volatility with pressure on resources land, water, and energy supplies intensifying as it modernizes.",-0.620331
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"Brazil, Indonesia, Russia, and South Africa also are poised to achieve economic growth, although they are unlikely to exercise the same political clout as China or India.",0.2737858
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"Their growth undoubtedly will benefit their neighbors, but they appear unlikely to become such economic engines that they will be able to alter the flow of economic power within and through their Risks to Chinese Economic Growth Whether China s rise occurs smoothly is a key uncertainty.",-0.17461869
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"In , the RAND Corporation identified and assessed eight major risks to the continued rapid growth of China s economy over the next decade.",-0.07807955
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"Its Fault Lines in China s Economic Terrain highlighted: Fragility of the financial system and state-owned enterprises Economic effects of corruption Water resources and pollution Possible shrinkage of foreign direct investment HIV/AIDS and epidemic diseases Unemployment, poverty, and social unrest Energy consumption and prices Taiwan and other potential conflicts RAND s estimates of the negative growth impact of these adverse developments occurring separately on a one-at-a-time basis range from a low of between .",-0.7821752
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,RAND assessed the probability of all of these adverse developments occurring before as very low but estimated that should they all occur their cumulative effect would be to reduce Chinese economic growth by between .,-0.41176423
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"India vs. China: Long-Term Prospects India lags economically behind China, according to most measures such as overall GDP, amount of foreign investment (today a small fraction of China s), and per capita income.",-0.4837756
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"In recent years, India s growth rate has lagged China s by about percent.",-0.39428353
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"Nevertheless, some experts believe that India might overtake China as the fastest growing economy in the world.",0.79858565
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"India has several factors working for it: Its working-age population will continue to increase well into the s, whereas, due to the one-child policy, China s will diminish and age quite rapidly.",0.37946156
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"India has well-entrenched democratic institutions, making it somewhat less vulnerable to political instability, whereas China faces the continuous challenge of reconciling an increasingly urban and middle-class population with an essentially authoritarian political system.",0.045076936
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"India possesses working capital markets and world-class firms in some important high- tech sectors, which China has yet to achieve.",0.60962737
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"Several factors could weaken China s prospects for economic growth, especially the risks to political stability and the challenges facing China s financial sector as it moves toward a fuller market orientation.",-0.6908146
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,China might find its own path toward an Asian democracy that may not involve major instability or disruption to its economic growth but there are a large number of unknowns.,0.05729641
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"In many other respects, both China and India still resemble other developing states in the problems each must overcome, including the large numbers, particularly in rural areas, who have not enjoyed major benefits from economic growth.",0.10295534
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,The bottom line: India would be hard-pressed to accelerate economic growth rates to levels above those reached by China in the past decade.,-0.40852794
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"But China s ability to sustain its current pace is probably more at risk than is India s; should China s growth slow by several percentage points, India could emerge as the world s fastest-growing economy as we head towards .",-0.26707795
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,regions a key element in Beijing and New Delhi s political and economic rise.,0.036643773
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,Brazil is a natural partner both for the United States and Europe and for rising powers China and India and has the potential to enhance its leverage as a net exporter of oil.,0.84273404
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"While these social and political factors limit the extent to which Russia can be a major global player, in the complex world of Russia could be an important, if troubled, partner both for the established powers, such as the United States and Europe, and the rising powers of China and India.",0.14603059
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,The diversion of investment towards China and India also could spur Southeast Asia to implement plans for a single economic community and investment area by .,0.24550603
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"China and other countries in Northeast Asia, including South Korea, will experience a slowing of population growth and a graying of their peoples over the next years.",-0.18983725
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,China also will have to face the consequences of a gender imbalance caused by its one-child policy.,-0.8216273
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"In their view, the Korean Peninsula and Taiwan Strait crises are likely to come to a head by , risking conflict with global repercussions.",-0.632986
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,China also could face sustained armed unrest from separatist movements along its western borders.,-0.5994494
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"Finally, the roles of and interaction between the region s major powers China, Japan, and the US will undergo significant change by .",0.17785564
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"The United States and China have strong incentives to avoid confrontation, but rising nationalism in China and fears in the US of China as an emerging strategic competitor could fuel an increasingly antagonistic relationship.",-0.4331958
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,Japan s relationship with the US and China will be shaped by China s rise and the nature of any settlement on the Korean Peninsula and over Taiwan.,-0.044507295
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"The Aging Powers Japan s economic interests in Asia have shifted from Southeast Asia toward Northeast Asia especially China and the China-Japan-Korea triangle over the past two decades and experts believe the aging of Japan s work force will reinforce dependence on outbound investment and greater economic integration with Northeast Asia, especially China .",0.057778314
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"At the same time, Japanese concerns regarding regional stability are likely to grow owing to the ongoing crisis over North Korea, continuing tensions between China and Asia s Shifting Strategic Landscape, Foreign Policy Research Institute, November .",-0.3360298
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,Taiwan and the challenge of integrating rising China and India without major disruption.,-0.043473564
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"If anything, growing Chinese economic power is likely to spur increased activism by Japan on the world stage.",0.55902386
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"Experts see various trajectories that Japan could follow depending on such factors as the extent of China s growing strength, a resurgence or lack of continued vitality in Japan s economy, the level of US influence in the region and how developments in Korea and Taiwan play out.",-0.04191523
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"At some point, for example, Japan may have to choose between balancing against or bandwagoning with China.",-0.1593496
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"Defense spending by individual European countries, including the UK, France, and Germany is likely to fall further behind China and other countries over the next years.",-0.5024072
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,Collectively these countries will outspend all others except the US and possibly China .,-0.34883696
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"For example, an EU-China alliance, though still unlikely, is no longer unthinkable.",0.16376832
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"This includes not only Europe, Russia, and Japan, where the problem is particularly severe, but also most parts of developed regions such as Australia, New Zealand, North America, and East Asian countries like Singapore, Hong Kong, Taiwan, and South Korea.",-0.70154464
George W. Bush,2004,Republican,Director of Central Intelligence (DCI),Porter Goss,Global Trends 2020: Mapping the Global Future,"China is a special case where the transition to an aging population nearly million Chinese will be over by is particularly abrupt and the emergence of a serious gender imbalance could have increasing political, social, and even international repercussions.",-0.60940456
